multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
2.0,1.5,1.0,0.5695384200580154,0.6806292299250045,0.5794958101196664,0.3590634717395281,0.3850129198966408,0.6132075471698113,0.7402669632925473,2,class_weight_dissatisfied_3_neutral_2
1.0,1.2,1.0,0.5690261239059384,0.7120907261752332,0.5499014901250382,0.3206511798061094,0.268733850129199,0.557277628032345,0.8236929922135706,2,class_weight_dissatisfied_3_neutral_2
2.5,1.2,1.0,0.5642878353072853,0.6873971099323212,0.5920986900069504,0.37351381013352847,0.49612403100775193,0.4912398921832884,0.7889321468298109,2,class_weight_dissatisfied_3_neutral_2
2.5,1.5,1.0,0.5633764498808153,0.670385952076093,0.5914501721081457,0.3819279312237059,0.4599483204134367,0.5869272237196765,0.7274749721913237,2,class_weight_dissatisfied_3_neutral_2
2.5,1.0,1.0,0.5602285288002918,0.695994146698372,0.5911903756422628,0.3715017376989208,0.524547803617571,0.4211590296495957,0.8278642936596218,2,class_weight_dissatisfied_3_neutral_2
1.2,1.5,1.0,0.559622327942234,0.6861167002012073,0.5524375014863692,0.3427839765867935,0.268733850129199,0.637466307277628,0.7511123470522804,2,class_weight_dissatisfied_3_neutral_2
1.0,1.5,1.0,0.5561965311168661,0.6875800256081946,0.5455385666649852,0.33747942198646425,0.23772609819121446,0.6455525606469003,0.753337041156841,2,class_weight_dissatisfied_3_neutral_2
2.0,2.0,1.0,0.5522324256079044,0.6423998536674593,0.5688458349109279,0.3852204133894275,0.3385012919896641,0.7284366576819407,0.639599555061179,2,class_weight_dissatisfied_3_neutral_2
2.5,2.0,1.0,0.5509272447429926,0.635814889336016,0.5810307334091013,0.4018657398939089,0.40310077519379844,0.7095687331536388,0.6304226918798665,2,class_weight_dissatisfied_3_neutral_2
1.5,2.0,1.0,0.5455068707687625,0.6442290104261935,0.5549736729604322,0.37753795500274373,0.28165374677002586,0.7392183288409704,0.6440489432703004,2,class_weight_dissatisfied_3_neutral_2
1.2,2.0,1.0,0.5327047697418067,0.6445948417779404,0.5397232380148408,0.3738796414852753,0.2222222222222222,0.7506738544474394,0.646273637374861,2,class_weight_dissatisfied_3_neutral_2
1.0,2.0,1.0,0.5184266149356218,0.6438631790744467,0.5273411116201921,0.3725992317541613,0.17829457364341086,0.7560646900269542,0.6476640711902113,2,class_weight_dissatisfied_3_neutral_2
1.5,1.2,1.0,0.5787240137849944,0.708981159685385,0.5730482705359964,0.32778489116517284,0.3669250645994832,0.534366576819407,0.817853170189099,3,class_weight_dissatisfied_3_neutral_2
2.0,1.5,1.0,0.5782492439471111,0.686848362904701,0.5889055249891312,0.3508322663252241,0.4082687338501292,0.6098382749326146,0.7486095661846496,3,class_weight_dissatisfied_3_neutral_2
1.2,1.0,1.0,0.5730401686920548,0.7225169197000183,0.5558685423749282,0.31498079385403327,0.32558139534883723,0.4743935309973046,0.8676307007786429,3,class_weight_dissatisfied_3_neutral_2
1.5,1.0,1.0,0.5708230693192473,0.7155661240168283,0.5665488240831572,0.3261386500823121,0.39018087855297157,0.44878706199460916,0.860678531701891,3,class_weight_dissatisfied_3_neutral_2
2.0,1.2,1.0,0.5692473249418774,0.6981891348088531,0.5787706305029439,0.34497896469727457,0.4289405684754522,0.4973045822102426,0.8100667408231368,3,class_weight_dissatisfied_3_neutral_2
2.5,1.5,1.0,0.5674765120942796,0.6769709164075361,0.5914030356945331,0.36711176147795865,0.45478036175710596,0.5774932614555256,0.7419354838709677,3,class_weight_dissatisfied_3_neutral_2
1.5,1.5,1.0,0.567316750276484,0.6892262666910555,0.5656518073503256,0.3413206511798061,0.31007751937984496,0.6340970350404312,0.7527808676307007,3,class_weight_dissatisfied_3_neutral_2
1.2,1.2,1.0,0.5666250905320934,0.7106274007682458,0.5521886398162316,0.32193158953722334,0.2842377260981912,0.5491913746630728,0.8231368186874305,3,class_weight_dissatisfied_3_neutral_2
2.5,2.0,1.0,0.565505643166529,0.6493506493506493,0.5934712589859624,0.38339125663069323,0.4134366925064599,0.7223719676549866,0.6446051167964405,3,class_weight_dissatisfied_3_neutral_2
2.0,1.0,1.0,0.5650921757708853,0.7071520029266508,0.5761146779192036,0.34241814523504666,0.45219638242894056,0.4252021563342318,0.8509454949944383,3,class_weight_dissatisfied_3_neutral_2
2.5,1.2,1.0,0.5650096697149417,0.6914212548015365,0.5907309108519707,0.36217303822937624,0.4935400516795866,0.4777628032345013,0.8008898776418243,3,class_weight_dissatisfied_3_neutral_2
