model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,2,1,LocationMiddle,LocationMiddle,0.3916710857748906,0.38388136019260694,0.007789725582283691
Logistic regression,2,2,LocationMiddle,LocationMiddle,0.3916710857748906,0.37776194916944866,0.013909136605441963
Logistic regression,2,3,LocationMiddle,LocationMiddle,0.3916710857748906,0.37770062238626184,0.013970463388628784
Logistic regression,2,4,LocationMiddle,LocationMiddle,0.3916710857748906,0.3825106325950049,0.00916045317988573
Logistic regression,2,5,LocationMiddle,LocationMiddle,0.3916710857748906,0.38463666591378237,0.007034419861108254
Logistic regression,2,1,Ttrend,Ttrend,0.3916710857748906,0.3921737875982785,-0.0005027018233878522
Logistic regression,2,2,Ttrend,Ttrend,0.3916710857748906,0.3985213602972239,-0.006850274522333277
Logistic regression,2,3,Ttrend,Ttrend,0.3916710857748906,0.3953262175093733,-0.003655131734482675
Logistic regression,2,4,Ttrend,Ttrend,0.3916710857748906,0.3959243229768726,-0.004253237201981952
Logistic regression,2,5,Ttrend,Ttrend,0.3916710857748906,0.39141317663228176,0.00025790914260886977
Logistic regression,2,1,Vote hour,Vote hour,0.3916710857748906,0.38493455004462346,0.006736535730267168
Logistic regression,2,2,Vote hour,Vote hour,0.3916710857748906,0.38088343593314855,0.010787649841742075
Logistic regression,2,3,Vote hour,Vote hour,0.3916710857748906,0.3889515254750148,0.0027195602998758006
Logistic regression,2,4,Vote hour,Vote hour,0.3916710857748906,0.3854042123551446,0.006266873419746022
Logistic regression,2,5,Vote hour,Vote hour,0.3916710857748906,0.3831471703374035,0.00852391543748715
Logistic regression,2,1,Vote weekday,Vote weekday,0.3916710857748906,0.38086599183582476,0.010805093939065868
Logistic regression,2,2,Vote weekday,Vote weekday,0.3916710857748906,0.3935367698064994,-0.0018656840316087497
Logistic regression,2,3,Vote weekday,Vote weekday,0.3916710857748906,0.3905346955234171,0.0011363902514735513
Logistic regression,2,4,Vote weekday,Vote weekday,0.3916710857748906,0.3801023286314062,0.011568757143484432
Logistic regression,2,5,Vote weekday,Vote weekday,0.3916710857748906,0.37695390505190923,0.014717180722981393
Logistic regression,2,1,Moment,Moment,0.3916710857748906,0.38091245980545324,0.010758625969437385
Logistic regression,2,2,Moment,Moment,0.3916710857748906,0.3913792149439341,0.0002918708309565532
Logistic regression,2,3,Moment,Moment,0.3916710857748906,0.39128758295378113,0.00038350282110949374
Logistic regression,2,4,Moment,Moment,0.3916710857748906,0.38508235085518444,0.006588734919706185
Logistic regression,2,5,Moment,Moment,0.3916710857748906,0.38356409044392176,0.00810699533096887
Logistic regression,2,1,AC on/off,AC on/off,0.3916710857748906,0.37936465619941623,0.012306429575474398
Logistic regression,2,2,AC on/off,AC on/off,0.3916710857748906,0.36720202896685755,0.024469056808033074
Logistic regression,2,3,AC on/off,AC on/off,0.3916710857748906,0.3691657280874529,0.02250535768743772
Logistic regression,2,4,AC on/off,AC on/off,0.3916710857748906,0.37951555427363104,0.012155531501259587
Logistic regression,2,5,AC on/off,AC on/off,0.3916710857748906,0.3747811436574566,0.016889942117434054
Logistic regression,3,1,Student,Student,0.41865866713171207,0.3883251647000943,0.030333502431617754
Logistic regression,3,2,Student,Student,0.41865866713171207,0.38024090378212044,0.03841776334959163
Logistic regression,3,3,Student,Student,0.41865866713171207,0.38173697307488624,0.03692169405682583
Logistic regression,3,4,Student,Student,0.41865866713171207,0.3773676426668578,0.041291024464854276
Logistic regression,3,5,Student,Student,0.41865866713171207,0.3877556244538141,0.03090304267789795
Logistic regression,3,1,Temperature,Temperature,0.41865866713171207,0.3615319222012647,0.05712674493044739
Logistic regression,3,2,Temperature,Temperature,0.41865866713171207,0.349737080331533,0.06892158680017907
Logistic regression,3,3,Temperature,Temperature,0.41865866713171207,0.37745550710788844,0.041203160023823626
Logistic regression,3,4,Temperature,Temperature,0.41865866713171207,0.35671998461718246,0.06193868251452961
Logistic regression,3,5,Temperature,Temperature,0.41865866713171207,0.3498909119473506,0.06876775518436146
Logistic regression,3,1,RH,RH,0.41865866713171207,0.40826260305404194,0.01039606407767013
Logistic regression,3,2,RH,RH,0.41865866713171207,0.40694667167081783,0.011711995460894242
Logistic regression,3,3,RH,RH,0.41865866713171207,0.39240842856349345,0.02625023856821862
