fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
3,3,Vote hour,Vote hour,0.6030811447385972,0.60834459175157,-0.005263447012972766
3,4,Vote hour,Vote hour,0.6030811447385972,0.605188149219452,-0.0021070044808547683
3,5,Vote hour,Vote hour,0.6030811447385972,0.6064707397660909,-0.003389595027493697
3,1,Vote weekday,Vote weekday,0.6030811447385972,0.5845010966616188,0.01858004807697844
3,2,Vote weekday,Vote weekday,0.6030811447385972,0.5826463032665256,0.02043484147207164
3,3,Vote weekday,Vote weekday,0.6030811447385972,0.5876450882899915,0.015436056448605684
3,4,Vote weekday,Vote weekday,0.6030811447385972,0.5895711668855053,0.013509977853091937
3,5,Vote weekday,Vote weekday,0.6030811447385972,0.5760045338052161,0.027076610933381096
3,1,Moment,Moment,0.6030811447385972,0.5919373605680545,0.011143784170542737
3,2,Moment,Moment,0.6030811447385972,0.5931249751027203,0.009956169635876866
3,3,Moment,Moment,0.6030811447385972,0.5884069930702063,0.014674151668390922
3,4,Moment,Moment,0.6030811447385972,0.6068414327802601,-0.0037602880416629514
3,5,Moment,Moment,0.6030811447385972,0.5987750174196117,0.004306127318985498
3,1,AC on/off,AC on/off,0.6030811447385972,0.562630918259316,0.040450226479281204
3,2,AC on/off,AC on/off,0.6030811447385972,0.561413377179427,0.04166776755917023
3,3,AC on/off,AC on/off,0.6030811447385972,0.5545399874172302,0.04854115732136699
3,4,AC on/off,AC on/off,0.6030811447385972,0.5676440044652429,0.03543714027335432
3,5,AC on/off,AC on/off,0.6030811447385972,0.5540010675993621,0.04908007713923512
4,1,Student,Student,0.5921802547235903,0.5782976775429418,0.013882577180648448
4,2,Student,Student,0.5921802547235903,0.5834091896017527,0.008771065121837562
4,3,Student,Student,0.5921802547235903,0.5824494140380482,0.009730840685542086
4,4,Student,Student,0.5921802547235903,0.5812405694259101,0.01093968529768019
4,5,Student,Student,0.5921802547235903,0.5813595120270992,0.010820742696491026
4,1,Temperature,Temperature,0.5921802547235903,0.562441919545503,0.029738335178087216
4,2,Temperature,Temperature,0.5921802547235903,0.5651860213313625,0.02699423339222773
4,3,Temperature,Temperature,0.5921802547235903,0.554093624158419,0.03808663056517125
4,4,Temperature,Temperature,0.5921802547235903,0.5731461718312578,0.019034082892332438
4,5,Temperature,Temperature,0.5921802547235903,0.5726118575757191,0.019568397147871175
4,1,RH,RH,0.5921802547235903,0.5806333790336499,0.011546875689940395
4,2,RH,RH,0.5921802547235903,0.5721715510134643,0.020008703710125975
4,3,RH,RH,0.5921802547235903,0.5806801478664182,0.011500106857172065
4,4,RH,RH,0.5921802547235903,0.5740227197654734,0.018157534958116894
4,5,RH,RH,0.5921802547235903,0.5728546453250766,0.019325609398513688
4,1,CLO,CLO,0.5921802547235903,0.571334830189442,0.020845424534148282
4,2,CLO,CLO,0.5921802547235903,0.5639830122315096,0.028197242492080665
4,3,CLO,CLO,0.5921802547235903,0.572370331347141,0.019809923376449268
4,4,CLO,CLO,0.5921802547235903,0.5737125807980643,0.01846767392552595
4,5,CLO,CLO,0.5921802547235903,0.564016053973056,0.028164200750534274
4,1,CO2,CO2,0.5921802547235903,0.5877007438015155,0.00447951092207477
4,2,CO2,CO2,0.5921802547235903,0.5922160631367412,-3.580841315098393e-05
4,3,CO2,CO2,0.5921802547235903,0.5890457393078243,0.003134515415765926
4,4,CO2,CO2,0.5921802547235903,0.5915599325091762,0.0006203222144141041
4,5,CO2,CO2,0.5921802547235903,0.592567516255774,-0.0003872615321837136
4,1,Lighting,Lighting,0.5921802547235903,0.5763996180961676,0.015780636627422684
4,2,Lighting,Lighting,0.5921802547235903,0.5756011876353982,0.016579067088192012
4,3,Lighting,Lighting,0.5921802547235903,0.5795907941908144,0.012589460532775876
4,4,Lighting,Lighting,0.5921802547235903,0.5839120186007657,0.008268236122824568
4,5,Lighting,Lighting,0.5921802547235903,0.5838132158742846,0.008367038849305675
4,1,Sound,Sound,0.5921802547235903,0.5892948173322005,0.0028854373913898
4,2,Sound,Sound,0.5921802547235903,0.5872281909299014,0.004952063793688843
4,3,Sound,Sound,0.5921802547235903,0.5967755595253011,-0.004595304801710887
