model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,3,3,Age,Age,0.41623811698208324,0.4128994337236908,0.0033386832583924275
Logistic regression,3,4,Age,Age,0.41623811698208324,0.4106522894852414,0.005585827496841833
Logistic regression,3,5,Age,Age,0.41623811698208324,0.4128735748005374,0.00336454218154586
Logistic regression,3,1,Gender,Gender,0.41623811698208324,0.40468705710401487,0.01155105987806837
Logistic regression,3,2,Gender,Gender,0.41623811698208324,0.41319659121688285,0.0030415257652003924
Logistic regression,3,3,Gender,Gender,0.41623811698208324,0.39502584466551527,0.02121227231656797
Logistic regression,3,4,Gender,Gender,0.41623811698208324,0.403442057890445,0.012796059091638223
Logistic regression,3,5,Gender,Gender,0.41623811698208324,0.40719743540877246,0.009040681573310783
Logistic regression,3,1,EA,EA,0.41623811698208324,0.41256300626533077,0.003675110716752472
Logistic regression,3,2,EA,EA,0.41623811698208324,0.41177885468541015,0.004459262296673094
Logistic regression,3,3,EA,EA,0.41623811698208324,0.41526967267817433,0.0009684443039089108
Logistic regression,3,4,EA,EA,0.41623811698208324,0.41245859365123144,0.0037795233308517973
Logistic regression,3,5,EA,EA,0.41623811698208324,0.4084150494319294,0.007823067550153828
Logistic regression,3,1,LocationBack,LocationBack,0.41623811698208324,0.40011945345096905,0.016118663531114186
Logistic regression,3,2,LocationBack,LocationBack,0.41623811698208324,0.39659274970009434,0.0196453672819889
Logistic regression,3,3,LocationBack,LocationBack,0.41623811698208324,0.4037685654408783,0.012469551541204937
Logistic regression,3,4,LocationBack,LocationBack,0.41623811698208324,0.4101875971887281,0.006050519793355136
Logistic regression,3,5,LocationBack,LocationBack,0.41623811698208324,0.3980976049263574,0.018140512055725866
Logistic regression,3,1,LocationFront,LocationFront,0.41623811698208324,0.4097008592688423,0.006537257713240929
Logistic regression,3,2,LocationFront,LocationFront,0.41623811698208324,0.4021053885366583,0.014132728445424958
Logistic regression,3,3,LocationFront,LocationFront,0.41623811698208324,0.397685218838395,0.018552898143688212
Logistic regression,3,4,LocationFront,LocationFront,0.41623811698208324,0.4004743850618791,0.015763731920204138
Logistic regression,3,5,LocationFront,LocationFront,0.41623811698208324,0.40532289791179066,0.010915219070292581
Logistic regression,3,1,LocationLeft,LocationLeft,0.41623811698208324,0.3827184892402284,0.03351962774185485
Logistic regression,3,2,LocationLeft,LocationLeft,0.41623811698208324,0.39658288418220344,0.019655232799879796
Logistic regression,3,3,LocationLeft,LocationLeft,0.41623811698208324,0.4010726517472216,0.01516546523486162
Logistic regression,3,4,LocationLeft,LocationLeft,0.41623811698208324,0.3874661398192952,0.028771977162788065
Logistic regression,3,5,LocationLeft,LocationLeft,0.41623811698208324,0.40227118047458604,0.013966936507497196
Logistic regression,3,1,LocationRight,LocationRight,0.41623811698208324,0.405678620271825,0.010559496710258243
Logistic regression,3,2,LocationRight,LocationRight,0.41623811698208324,0.40774112481095554,0.008496992171127704
Logistic regression,3,3,LocationRight,LocationRight,0.41623811698208324,0.4198051088898547,-0.003566991907771433
Logistic regression,3,4,LocationRight,LocationRight,0.41623811698208324,0.41973675069728983,-0.0034986337152065894
Logistic regression,3,5,LocationRight,LocationRight,0.41623811698208324,0.4214268272026231,-0.005188710220539849
Logistic regression,3,1,LocationMiddle,LocationMiddle,0.41623811698208324,0.412178571100038,0.004059545882045212
Logistic regression,3,2,LocationMiddle,LocationMiddle,0.41623811698208324,0.40757865505426416,0.008659461927819079
Logistic regression,3,3,LocationMiddle,LocationMiddle,0.41623811698208324,0.41052255836416024,0.005715558617923
Logistic regression,3,4,LocationMiddle,LocationMiddle,0.41623811698208324,0.4098682858790254,0.0063698311030578325
Logistic regression,3,5,LocationMiddle,LocationMiddle,0.41623811698208324,0.4135184895498745,0.0027196274322087155
Logistic regression,3,1,Ttrend,Ttrend,0.41623811698208324,0.413023080833006,0.003215036149077255
Logistic regression,3,2,Ttrend,Ttrend,0.41623811698208324,0.4153010173018441,0.0009370996802391396
Logistic regression,3,3,Ttrend,Ttrend,0.41623811698208324,0.41543512210933026,0.0008029948727529823
Logistic regression,3,4,Ttrend,Ttrend,0.41623811698208324,0.41422256954292863,0.002015547439154608
Logistic regression,3,5,Ttrend,Ttrend,0.41623811698208324,0.4116789197448456,0.004559197237237633
Logistic regression,3,1,Vote hour,Vote hour,0.41623811698208324,0.4162322755814423,5.8414006409157615e-06
Logistic regression,3,2,Vote hour,Vote hour,0.41623811698208324,0.4111133987829356,0.005124718199147615
Logistic regression,3,3,Vote hour,Vote hour,0.41623811698208324,0.41306168689678513,0.0031764300852981098
Logistic regression,3,4,Vote hour,Vote hour,0.41623811698208324,0.420092093226428,-0.003853976244344748
Logistic regression,3,5,Vote hour,Vote hour,0.41623811698208324,0.4118127987080374,0.004425318274045853
Logistic regression,3,1,Vote weekday,Vote weekday,0.41623811698208324,0.41387633433624615,0.002361782645837085
Logistic regression,3,2,Vote weekday,Vote weekday,0.41623811698208324,0.40453156695821546,0.011706550023867779
Logistic regression,3,3,Vote weekday,Vote weekday,0.41623811698208324,0.4099808736138164,0.006257243368266829
Logistic regression,3,4,Vote weekday,Vote weekday,0.41623811698208324,0.41773841153173485,-0.0015002945496516151
Logistic regression,3,5,Vote weekday,Vote weekday,0.41623811698208324,0.40347305107734704,0.012765065904736195
Logistic regression,3,1,Moment,Moment,0.41623811698208324,0.41442020391496937,0.0018179130671138743
Logistic regression,3,2,Moment,Moment,0.41623811698208324,0.4177982469970066,-0.0015601300149233333
Logistic regression,3,3,Moment,Moment,0.41623811698208324,0.41026167093987437,0.005976446042208872
Logistic regression,3,4,Moment,Moment,0.41623811698208324,0.4207260803570157,-0.004487963374932458
Logistic regression,3,5,Moment,Moment,0.41623811698208324,0.415740077583969,0.0004980393981142139
Logistic regression,3,1,AC on/off,AC on/off,0.41623811698208324,0.39300700658778775,0.023231110394295484
Logistic regression,3,2,AC on/off,AC on/off,0.41623811698208324,0.39906785508942644,0.017170261892656802
Logistic regression,3,3,AC on/off,AC on/off,0.41623811698208324,0.405104235706339,0.011133881275744217
Logistic regression,3,4,AC on/off,AC on/off,0.41623811698208324,0.39300264592492745,0.023235471057155788
Logistic regression,3,5,AC on/off,AC on/off,0.41623811698208324,0.39247625631565497,0.02376186066642827
Logistic regression,4,1,Student,Student,0.40678686477460363,0.3931084406621744,0.013678424112429255
Logistic regression,4,2,Student,Student,0.40678686477460363,0.3782845030617052,0.02850236171289844
Logistic regression,4,3,Student,Student,0.40678686477460363,0.3798999945358173,0.02688687023878633
Logistic regression,4,4,Student,Student,0.40678686477460363,0.39464389221539786,0.012142972559205767
Logistic regression,4,5,Student,Student,0.40678686477460363,0.3811237609213632,0.025663103853240443
Logistic regression,4,1,Temperature,Temperature,0.40678686477460363,0.39802669778892613,0.008760166985677498
Logistic regression,4,2,Temperature,Temperature,0.40678686477460363,0.40112320184867567,0.005663662925927959
Logistic regression,4,3,Temperature,Temperature,0.40678686477460363,0.3906290308371065,0.016157833937497146
Logistic regression,4,4,Temperature,Temperature,0.40678686477460363,0.38480089049515626,0.021985974279447373
Logistic regression,4,5,Temperature,Temperature,0.40678686477460363,0.4032650591994189,0.003521805575184722
Logistic regression,4,1,RH,RH,0.40678686477460363,0.40103762578112373,0.005749238993479899
